11111212,11111222,11112212,11121112,11121211,11121212,11121221,11121222,11122112,11122211,11122212,11122222,11211212,11212212,11221211,11221212,11222211,12111112,12111211,12111212,12111221,12111222,12112111,12112112,12112122,12112211,12112212,12112221,12112222,12121111,12121112,12121211,12121212,12121221,12121222,12122111,12122112,12122211,12122212,12122222,12211112,12211211,12211212,12211222,12212212,12221112,12221211,12221212,12221221,12221222,12222211,12222212,21111112,21111211,21111212,21112212,21121111,21121112,21121211,21121212,22111211,22111212,22111222,22112112,22112212,22121111,22121112,22121211,22121212,22121222,22122111,22122211,22211211,22221211,22221212,22221222,model
30,0,0,0,36,324,0,0,0,1,0,0,0,0,0,0,0,10,0,144,0,0,0,0,0,0,0,0,0,11,196,150,86,1,0,1,0,4,0,0,1,0,0,0,0,3,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,ZigZag_agent_DiscreteDBN_m0
12,0,0,0,24,244,0,4,0,1,0,0,0,0,0,0,0,13,0,155,0,1,0,0,0,0,0,0,0,26,256,155,101,1,1,0,0,0,0,0,1,0,0,0,0,3,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,ZigZag_expert_DiscreteDBN_m0
0,0,0,0,0,197,0,0,0,427,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,97,0,99,0,0,180,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,FixedSequence_agent_DiscreteDBN_m0
0,0,0,0,0,101,0,0,0,103,0,0,0,0,0,0,0,0,0,199,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,198,0,0,0,0,0,0,0,0,0,200,0,0,199,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,FixedSequence_expert_DiscreteDBN_m0
3,0,0,0,11,179,0,0,0,7,0,0,0,0,0,0,0,24,0,188,0,0,0,0,0,0,0,0,0,25,174,241,89,0,0,1,0,4,0,0,1,0,0,0,0,46,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,SmartRandom_agent_DiscreteDBN_m0
4,0,0,0,12,215,0,0,0,1,0,0,0,0,0,0,0,16,0,164,0,0,0,0,0,0,0,0,0,22,231,206,119,0,0,1,0,3,0,0,1,0,0,0,0,3,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,SmartRandom_expert_DiscreteDBN_m0
36,0,0,0,35,180,0,0,36,5,0,0,0,0,0,0,0,36,0,179,36,1,0,0,0,0,0,0,0,34,175,175,0,0,0,0,0,0,0,0,0,0,0,0,0,0,35,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,36,0,0,0,0,0,0,0,0,0,WallFollower_agent_DiscreteDBN_m0
36,0,0,0,35,180,0,0,36,1,0,0,0,0,0,0,0,36,0,179,36,1,0,0,0,0,0,0,0,34,179,175,0,0,0,0,0,0,0,0,0,0,0,0,0,0,35,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,36,0,0,0,0,0,0,0,0,0,WallFollower_expert_DiscreteDBN_m0
34,0,0,0,39,312,0,0,2,1,0,0,0,0,0,0,0,4,0,166,0,0,0,0,0,0,0,0,0,14,141,190,69,2,0,2,0,5,0,0,3,0,0,0,0,6,4,4,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Random_agent_DiscreteDBN_m0
